Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Pianc&oacute;,2511301,piancoense,J&Uacute;LIO EDUARDO VEN&Acirc;NCIO PINHEIRO,576.986,16441,28.49,17088,98.63,0.621,27.78,95411262.37,87647812.95,12776.52,
Picu&iacute;,2511400,picu&iacute;ense,JOS&Eacute; RANIERI SANTOS FERREIRA,667.714,18333,27.46,18862,99.83,0.608,28.99,123802223.38,110351325.93,11378.13,
Pilar,2511509,pilarense,PATRICIA RODRIGUES SILVA OLIVEIRA DE FARIAS,103.306,12311,119.17,12889,96.89,0.579,-,68383318.14,64385332.58,10111.37,
Pil&otilde;es,2511608,piloense,SORAYA FERREIRA SALES DA CUNHA,65.574,6815,103.93,6974,99.83,0.560,-,48038121.7,48083569.95,14641.92,
Pil&otilde;ezinhos,2511707,pil&otilde;ezinhense,MARCELO MATIAS CAMELO,40.908,5329,130.27,5539,98.56,0.564,-,43225274.13,43015883.16,10373.93,
Pirpirituba,2511806,pirpiritubense,DANILO CALIXTO DE FREITAS ROCHA,80.672,9340,115.78,9411,99.56,0.595,18.18,57921370.37,52016647.77,8980.48,
Pitimbu,2511905,pitimbuense,ADELMA CRISTOVAM DOS PASSOS,135.801,16751,123.35,17166,99.34,0.570,4.18,130049126.94,122827894.11,22092.43,
Pocinhos,2512002,pocinhense,ELIANE MOURA DOS SANTOS GALDINO,623.967,17469,28.00,18038,99,0.591,8.13,154383249.67,130444701.26,15101.87,
Po&ccedil;o Dantas,2512036,po&ccedil;odantense,ITAMAR MOREIRA FERNANDES,97.758,3830,39.18,3934,100,0.525,-,52122361.94,45836813.86,10376.63,
Po&ccedil;o de Jos&eacute; de Moura,2512077,po&ccedil;omourense,LAIS RAQUEL DANTAS DE OLIVEIRA,94.646,4006,42.33,4126,99.18,0.612,22.22,54231296.82,50915276.19,10717.41,
Pombal,2512101,pombalense,CLAUDENILDO ALENCAR N&Oacute;BREGA,894.098,32473,36.32,33866,98.92,0.634,19.89,161619768.52,151001933.35,14177.59,
Prata,2512200,prataense,GENIVALDO FERNANDES DA SILVA,201.788,3915,19.40,4032,98.97,0.608,-,38667040.28,31053670.81,15167.11,
Princesa Isabel,2512309,princesense,EDNALDO DE MELO,368.569,21114,57.29,21674,99.16,0.606,7.58,125897473.14,128756897.25,11215,
Puxinan&atilde;,2512408,puxinanaense,ELEUZA MARIA DE OLIVEIRA,71.118,14277,200.75,14942,98.96,0.617,13.22,94010553.4,84007287.86,9987.45,
Queimadas,2512507,queimadense,DEL&Uacute;SIA BARROS DA SILVA,402.748,47658,118.33,50698,98.11,0.608,14.95,250417006.13,227794874.62,13646.91,
Quixaba,2512606,quixabense,ALLAN D LLON CANDEIA DE MACEDO,147.158,1743,11.84,1803,100,0.622,-,29163258.22,25228008.98,13312.85,
Rem&iacute;gio,2512705,remigioense,LUIS CLAUDIO R&Eacute;GIS MARINHO,183.459,17885,97.49,18399,98.94,0.607,8.51,101381726.34,94488089.22,9080.26,
Pedro R&eacute;gis,2512721,pedroregense,MICHELE RIBEIRO DE OLIVEIRA,74.216,5766,77.69,5932,98.03,0.542,12.82,42646063.45,37961652.44,9315.19,
Riach&atilde;o,2512747,riach&atilde;oense,DONATO APARECIDO DE AQUINO,85.291,2927,34.32,2945,99.34,0.574,-,37248240.18,33539034.49,9997.84,
Riach&atilde;o do Bacamarte,2512754,riachonense,JOSE DE ARIMATEA DA SILVA,40.281,4690,116.43,4911,97.82,0.553,-,49429281.69,44143706.64,10982.25,
Riach&atilde;o do Po&ccedil;o,2512762,riach&atilde;oense,MARCELO FERREIRA DE LIMA,40.460,4738,117.10,4989,100,0.555,32.26,43071215.9,41180845.81,12291.97,
Riacho de Santo Ant&ocirc;nio,2512788,riachoantoniense,MARCELO BARBOSA FERREIRA,93.654,1955,20.87,2063,99.29,0.594,-,31743169.73,28386397.28,15288.7,
Riacho dos Cavalos,2512804,riachoense,ARTHUR VIEIRA CARNEIRO,262.532,8493,32.35,8788,97.77,0.568,-,57697797.45,54347151.91,10822.34,
Rio Tinto,2512903,rio-tintense,MAGNA CELI FERNANDES GERBASI,465.240,24581,52.84,25500,96.96,0.585,19.94,120937600.94,108710856.65,13272.79,
Salgadinho,2513000,salgadinhense,ERIVAN J&Uacute;LIO DA SILVA,179.005,3355,18.74,3435,97.11,0.563,31.25,35235742.69,33074723.59,8413.51,
Salgado de S&atilde;o F&eacute;lix,2513109,salgadense,JONI MARCOS SOUZA DE OLIVEIRA,204.079,11505,56.38,11741,99.03,0.568,15.15,65516907.58,59895217.16,10610.87,
Santa Cec&iacute;lia,2513158,ceciliense,JOSE MARCILIO FARIAS DA SILVA,217.577,7670,35.25,8113,98.8,0.525,52.63,45710051.43,39693001.79,10059.66,
Santa Cruz,2513208,santa-cruzense,ALBERTO DUARTE DE SOUSA,217.677,5947,27.32,6013,99.61,0.618,16.13,39716357.01,40819948.57,9441.21,
Santa Helena,2513307,santa-helenense,JO&Atilde;O CLEBER FERREIRA LIMA,211.143,5865,27.78,6023,100,0.609,-,47183420.74,48151154.27,10620.57,
Santa In&ecirc;s,2513356,santineense,FELIX HENRIQUE LEITE VIEIRA,327.635,3227,9.85,3256,100,0.572,-,30232340.69,27978010.53,10235.53,
Santa Luzia,2513406,santa-luziense,HENRY MALDINEY DE LIRA N&Oacute;BREGA,440.766,14959,33.94,15418,99.32,0.682,12.27,124984279,103280623.86,24065.43,
Santana de Mangueira,2513505,santanense,MARINA DON&Aacute;RIA ALVARENGA DE LACERDA,405.164,5010,12.37,5090,98.53,0.535,30.77,42278651.08,36657752.68,10012.95,
Santana dos Garrotes,2513604,santana-garrotense,PALOMA KENNED LEITE DA SILVA,361.484,6569,18.17,6618,99.19,0.594,28.99,46742523.12,41134743.42,9671.89,
Joca Claudino,2513653,Joca-Claudinense,RINALDO CIPRIANO DE SOUSA,71.799,2539,35.36,2607,100,0.622,-,45288257.45,37577739.52,12501.62,
Santa Rita,2513703,santa-ritense,JACKSON ALVINO DA COSTA,718.576,149910,208.62,160852,97.32,0.627,14.57,570177616.73,566015966.57,18949.73,
Santa Teresinha,2513802,santa-teresinhense,JOSE DE ARIMATEIA NUNES CAMBOIM,359.442,4402,12.25,4492,99.14,0.627,-,36615440.63,34474314.52,12569.44,
Santo Andr&eacute;,2513851,santoandreense,EDGLEI AMORIM DO NASCIMENTO,197.791,2622,13.26,2708,100,0.600,-,30841595.67,29136917,11758.94,
S&atilde;o Bento,2513901,s&atilde;o-bentense,GERFERSON GARCIA DE SOUSA,245.840,32235,131.12,33845,92.49,0.580,7.56,223810596.36,210146624.72,16364.14,
S&atilde;o Bentinho,2513927,s&atilde;obentinhense,GIOVANA LEITE CAVALCANTI OL&Iacute;MPIO,199.635,4327,21.67,4490,100,0.606,-,38088093.94,34900441.81,11957.9,
S&atilde;o Domingos do Cariri,2513943,s&atilde;odominguense,ONILDO LINDBERG ANANIAS DA SILVA,233.835,2585,11.05,2688,97.92,0.589,23.26,32397503.38,25321308.13,10850.34,
S&atilde;o Domingos,2513968,s&atilde;odominguense,ADEILZA SOARES FREIRES,170.361,2595,15.23,2624,98.76,0.548,-,31163581.73,27142768.49,11595.69,
S&atilde;o Francisco,2513984,francisquense,GERONCIO SUCUPIRA JUNIOR,90.724,3137,34.58,3176,100,0.580,26.32,37518212.83,31319657.02,11583.67,
S&atilde;o Jo&atilde;o do Cariri,2514008,caririense,FRANCISCO JOAQUIM DE LUCENA PEREIRA,612.966,4226,6.89,4345,99.28,0.622,41.67,40525268.58,35503043.26,13260.21,
S&atilde;o Jo&atilde;o do Tigre,2514107,s&atilde;o-jo&atilde;o-tigrense,M&Aacute;RCIO ALEXANDRE LEITE,812.617,4263,5.25,4359,100,0.552,-,36726188.48,32813404.28,9283.18,
S&atilde;o Jos&eacute; da Lagoa Tapada,2514206,s&atilde;o-joseense,EVILASIO FORMIGA LUCENA NETO,333.724,7126,21.35,7251,98.52,0.530,28.99,51458636.08,49852881.72,9440.27,
S&atilde;o Jos&eacute; de Caiana,2514305,caianense,MANOEL PEREIRA DE SOUZA,183.273,5034,27.47,4966,99.36,0.565,13.16,49708503.48,44678068.22,8697.78,
S&atilde;o Jos&eacute; de Espinharas,2514404,espinharense,THAISE GOMES DE SOUSA,726.757,4083,5.62,4056,99.4,0.577,-,36815984.53,31529732.98,11844.18,
S&atilde;o Jos&eacute; dos Ramos,2514453,sanjoseense,MATHEUS AMORIM MARANHAO E SILVA,100.642,5891,58.53,6137,97.57,0.541,-,54117727.27,45707590.69,14343.99,
S&atilde;o Jos&eacute; de Piranhas,2514503,piranhense,SANDOVAL VIEIRA LINS,686.918,19067,27.76,19561,99.4,0.591,24.39,111375218.83,109586158.13,11289.98,
S&atilde;o Jos&eacute; de Princesa,2514552,s&atilde;ojoseense,JULIANO DINIZ DE MORAIS,158.052,3416,21.61,3323,100,0.565,-,30359731.86,25045019.36,8730.43,
S&atilde;o Jos&eacute; do Bonfim,2514602,bonfinense,ROSALBA GOMES DA NOBREGA MOTA,153.629,3242,21.10,3337,99.4,0.578,-,33244034.17,28756591.8,8943.38,
S&atilde;o Jos&eacute; do Brejo do Cruz,2514651,s&atilde;ojoseense,KLEDYANNE CRISTINA DA SILVA GOMES,253.787,1699,6.69,1750,100,0.581,-,32628664.89,28494086.44,15975.52,
S&atilde;o Jos&eacute; do Sabugi,2514701,sabugiense,EMANUEL DE ARA&Uacute;JO DOMICIANO DANTAS,213.555,4138,19.38,4283,100,0.617,-,56884367.78,53832840.43,30132.81,
S&atilde;o Jos&eacute; dos Cordeiros,2514800,s&atilde;o-joseense (dos Cordeiros),FEL&Iacute;CIO KELMO ALMEIDA QUEIROZ,376.661,3411,9.06,3462,100,0.556,27.78,38510540.14,32567286.78,10237.66,
S&atilde;o Mamede,2514909,s&atilde;o-mamedense,FRANCISCO DAS CHAGAS LOPES DE SOUZA FILHO,533.446,7470,14.00,7629,98.4,0.641,-,52564310.35,66683147.59,10705.26,
S&atilde;o Miguel de Taipu,2515005,taipuense,LAELSON ALBUQUERQUE,92.413,7066,76.46,7307,98.71,0.548,20.41,53301360.89,49246456.76,11090.71,
S&atilde;o Sebasti&atilde;o de Lagoa de Ro&ccedil;a,2515104,lagoense (de Ro&ccedil;a),PEDRO JUNIOR QUARESMA DE ARAUJO,46.372,11040,238.07,11387,100,0.594,15.63,65390927.74,63095876.33,8970.65,
S&atilde;o Sebasti&atilde;o do Umbuzeiro,2515203,s&atilde;o-sebastianense,ADALCY MIL&Ecirc;NE DE FREITAS NEVES,464.327,3279,7.06,3382,99.42,0.581,-,37258121.45,31719786.09,11433.3,
Sap&eacute;,2515302,sapeense,SIDNEI PAIVA DE FREITAS,313.678,51306,163.56,53457,98.66,0.569,12.32,216868543.8,241936222.32,12756.07,
S&atilde;o Vicente do Serid&oacute;,2515401,seridoense,ERIVAM DOS ANJOS LEONARDO,262.751,10291,39.17,10652,99.08,0.555,11.49,59182625.53,56551406.95,8232.3,
Serra Branca,2515500,serra-branquense,MICHEL ALEXANDRE PEREIRA MARQUES,698.102,13614,19.50,14131,98.93,0.628,6.94,73594286.4,74239746.41,10694.7,
Serra da Raiz,2515609,serra-raizense,LUIZ GONZAGA BEZERRA DUARTE,31.679,3094,97.67,3156,99.29,0.626,25,35079379.86,32283713.88,11892.76,
Serra Grande,2515708,serra-grandense,VICENTE ANTONIO DA SILVA NETO,64.352,2942,45.72,3056,100,0.586,-,35203239.08,27615595.45,11360.25,
Serra Redonda,2515807,serra-redondense,FRANCISCO BERNARDO DOS SANTOS,55.197,6828,123.70,6975,99.74,0.570,21.05,41460719.71,36985009.61,10172.58,
Serraria,2515906,serrariense,EN&Eacute;IAS PEREIRA DA SILVA,65.062,4885,75.08,4754,99.27,0.547,-,39027455.96,33203238.17,11212.51,
Sert&atilde;ozinho,2515930,sert&atilde;ozienhense,RONALDO NOGUEIRA VIEIRA,32.455,5054,155.72,5332,100,0.621,-,48406660.71,42112797.64,10612.64,
Sobrado,2515971,sobradense,OLINALDO MARTINS DA SILVA,61.953,8236,132.94,8646,99.69,0.573,16.26,52749072.7,48448780.75,14360.58,
Sol&acirc;nea,2516003,solanense,JUCIAN JAD DO AMARAL COSTA,233.043,26774,114.89,27748,98.62,0.595,17.24,119434202.83,107246060.72,13553.35,
Soledade,2516102,soledadense,JOS&Eacute; ALVES DE MIRANDA NETO,578.178,13968,24.16,14409,98.91,0.616,26.14,92058181.35,90423261.32,13377.14,
Soss&ecirc;go,2516151,sosseguense,VANUSA DA PAZ MEDEIROS,147.264,3345,22.71,3476,100,0.573,18.18,35803563.07,30269466.64,10663.42,
Sousa,2516201,sousense,HELDER MOREIRA ABRANTES DE CARVALHO,728.492,67259,92.33,70066,98.86,0.668,10.61,293039879.87,274742706.78,18836.93,
Sum&eacute;,2516300,sumeense,MANOEL LOUREN&Ccedil;O QUEIROZ DUARTE,833.315,17166,20.60,17852,99.42,0.627,-,115563427.92,103390118.77,11749.92,
Tacima,2516409,tacimense,LUIS RODRIGUES SOBRINHO,245.236,8010,32.66,7794,98.99,0.551,12.2,52629091.22,47851060.25,8317.81,
Tapero&aacute;,2516508,taperoaense,GEORGE CIRO MONTEIRO DE FARIAS,628.365,14068,22.39,14358,98.57,0.578,12.27,88138453.72,79047686.8,8977.25,
Tavares,2516607,tavarense,GENILDO JOS&Eacute; DA SILVA,239.507,14101,58.88,14473,99.63,0.586,7.25,80933621.27,76240206.73,9458.45,
Teixeira,2516706,teixeirense,WENCESLAU SOUZA MARQUES,155.452,14631,94.12,15129,99.48,0.605,20.08,90906281.37,81181521.44,11027.51,
Ten&oacute;rio,2516755,tenorense,MANOEL VASCONCELOS,87.452,2966,33.92,3082,100,0.581,-,34769332.81,30964767.75,11111.22,
Triunfo,2516805,triunfense,ESPEDITO CEZARIO DE FREITAS FILHO,224.336,9892,44.09,10315,98.71,0.609,19.42,78986233.76,72825324.05,9233.39,
Uira&uacute;na,2516904,uiraunense,MARIA SULENE DANTAS SARMENTO,293.182,14930,50.92,15431,99.43,0.636,18.4,110031311.86,101220042.13,12537.15,
Umbuzeiro,2517001,umbuzeirense,FERNANDA ISABEL LEAL MORAES DUARTE,185.578,9124,49.17,9274,100,0.584,-,76133340.44,73611273.81,9193.27,
V&aacute;rzea,2517100,varzense,PAULO NOBREGA DE MEDEIROS,191.282,2668,13.95,2777,99.34,0.707,-,29802281.8,25232667.72,13087.54,
Vieir&oacute;polis,2517209,vieiropolense,THIALLY ARISTOTELIS DE OLIVEIRA,147.098,4864,33.07,4967,100,0.571,20.83,36981158.38,35925880.82,9766.21,
Zabel&ecirc;,2517407,zabeleense,JORS&Acirc;MARA BEZERRA NEVES SILVA,106.811,2228,20.86,2323,98.97,0.623,-,34595781.68,29370763.25,11882.14,
